Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,TransactionsCred,VolumeDeb,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Dormant,Total_ActBal,Credit_Debit_Ratio
3,1,17,140,1,0.0,1.0,0.0,0.0,0.0,482.6546428571429,0.0,107.25178571428572,0.0,0.0,0.0,1607.149642857143,4.0,123.75,0.0,112.85714285714286,10.678571428571429,3.0,0.0,1.0,1.0,False,589.9064285714286,12.882963068995132
4,1,24,153,1,1.0,0.0,0.0,1.0,0.0,1599.8407142857145,76.43714285714285,0.0,0.0,213.57989285714265,0.0,1872.4835714285716,9.0,3614.7475,714.2857142857143,526.0375,1963.1653571428567,41.0,6.0,12.0,13.0,False,1889.85775,0.5178690081175666
5,0,58,200,1,1.0,0.0,0.0,0.0,0.0,5353.483928571428,8079.715714285715,0.0,0.0,0.0,0.0,4372.773928571429,23.0,5551.514607142851,157.14285714285714,670.8960714285713,1779.571428571429,44.0,4.0,17.0,13.0,False,13433.199642857144,0.7875303782084998
7,0,55,227,1,0.0,0.0,0.0,0.0,0.0,879.6850000000001,0.0,0.0,0.0,0.0,0.0,387.5046428571428,2.0,99.04392857142857,17.857142857142858,69.15107142857143,10.714285714285714,10.0,1.0,6.0,1.0,False,879.6850000000001,3.8733449234800426
9,0,33,182,1,0.0,0.0,1.0,0.0,0.0,510.1664285714286,0.0,0.0,0.0,0.0,0.0,527.175,6.0,415.4607142857143,53.57142857142857,0.0,170.71428571428572,10.0,1.0,0.0,3.0,False,510.1664285714286,1.2658456894407806
10,0,29,48,1,1.0,0.0,0.0,0.0,0.0,253.45892857142857,116.70928571428573,0.0,0.0,0.0,0.0,0.0246428571428571,1.0,0.8928571428571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,370.1682142857143,0.0130188679245283
11,1,30,40,1,1.0,0.0,0.0,0.0,0.0,709.9025,5.590357142857143,0.0,0.0,0.0,0.0,451.8478571428572,3.0,412.8928571428572,410.7142857142857,0.0,0.0,5.0,3.0,0.0,0.0,False,715.4928571428571,1.0917024764863232
12,1,45,155,1,0.0,0.0,0.0,0.0,0.0,1075.475,0.0,0.0,0.0,0.0,0.0,466.80035714285714,3.0,770.2510714285714,285.7142857142857,393.6082142857143,87.53571428571429,19.0,1.0,13.0,4.0,False,1075.475,0.6052508378085143
16,1,46,149,1,1.0,2.0,0.0,0.0,0.0,10015.924642857144,31.65857142857143,10443.760928571424,0.0,0.0,0.0,394.7125,3.0,538.8714285714285,0.0,59.26428571428572,479.6071428571428,11.0,0.0,1.0,10.0,False,20491.34414285714,0.7311231510147921
18,1,25,41,1,0.0,0.0,0.0,1.0,0.0,935.9632142857143,0.0,0.0,0.0,213.57989285714265,0.0,2585.3571428571427,8.0,1869.4778571428567,703.5714285714286,670.8960714285713,266.42857142857144,44.0,6.0,22.0,7.0,False,1149.543107142857,1.382190723608062
19,0,46,94,1,1.0,0.0,0.0,0.0,0.0,10632.118249999996,20632.692642857142,0.0,0.0,0.0,0.0,812.49,3.0,148.4467857142857,0.0,0.0,144.12535714285715,5.0,0.0,0.0,4.0,False,31264.81089285714,5.436650886244745
24,0,29,23,1,0.0,0.0,0.0,0.0,0.0,227.31107142857144,0.0,0.0,0.0,0.0,0.0,1141.0925,3.0,902.0678571428572,0.0,258.425,639.5357142857143,22.0,0.0,6.0,15.0,False,227.31107142857144,1.2635733748848172
25,0,97,181,1,0.0,0.0,0.0,0.0,0.0,79.38107142857143,0.0,0.0,0.0,0.0,0.0,813.67,4.0,325.2178571428572,121.42857142857144,202.5392857142857,0.0,19.0,5.0,13.0,0.0,False,79.38107142857143,2.494253402086686
28,0,18,28,1,0.0,0.0,0.0,0.0,0.0,14.606785714285715,0.0,0.0,0.0,0.0,0.0,926.7871428571428,2.0,979.5214285714284,0.0,19.2,565.3214285714286,9.0,0.0,1.0,6.0,False,14.606785714285715,0.9451982545730042
30,1,54,2,1,1.0,2.0,1.0,1.0,0.0,162.48250000000002,0.3239285714285714,0.0,199.0569999999989,26.38357142857143,0.0,4911.420357142857,10.0,3119.2717857142857,528.5714285714286,378.5357142857143,2128.636785714286,44.0,4.0,26.0,9.0,False,388.246999999999,1.5740360758409209
32,1,29,15,2,0.0,0.0,1.0,0.0,1.0,10632.118249999996,0.0,0.0,0.0,0.0,2198.3581785714277,2402.4021428571427,11.0,2303.747142857143,385.7142857142857,0.0,280.2857142857143,18.0,4.0,0.0,2.0,False,12830.476428571425,1.0423712424604372
39,1,78,51,1,0.0,0.0,0.0,0.0,1.0,1548.2375,0.0,0.0,0.0,0.0,286.72357142857146,670.2682142857142,4.0,756.5846428571429,196.42857142857144,336.8703571428572,71.42857142857143,35.0,1.0,28.0,1.0,False,1834.9610714285716,0.8847436660778591
41,1,20,198,1,0.0,0.0,1.0,0.0,0.0,194.9557142857143,0.0,0.0,199.0569999999989,0.0,0.0,1638.6285714285714,4.0,948.9107142857144,310.7142857142857,523.9107142857143,107.14285714285714,18.0,6.0,7.0,1.0,False,394.0127142857132,1.725034307735689
51,0,67,85,1,1.0,0.0,1.0,0.0,0.0,1856.7185714285715,5.896071428571429,0.0,0.0,0.0,0.0,34.80392857142857,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1862.614642857143,34.80392857142857
54,1,38,149,1,0.0,0.0,0.0,0.0,1.0,4.55,0.0,0.0,0.0,0.0,2198.3581785714277,864.5207142857143,3.0,663.467857142857,0.0,0.0,107.14285714285714,6.0,0.0,0.0,1.0,False,2202.9081785714275,1.301072286631085
55,0,51,137,1,0.0,0.0,0.0,0.0,0.0,735.1589285714286,0.0,0.0,0.0,0.0,0.0,1124.0460714285714,5.0,1104.178571428571,0.0,0.0,1098.5,13.0,0.0,0.0,6.0,False,735.1589285714286,1.0170719017611891
57,1,28,157,1,0.0,0.0,0.0,0.0,0.0,1155.26,0.0,0.0,0.0,0.0,0.0,134.35750000000002,20.0,183.735,107.14285714285714,34.735,36.57142857142857,6.0,1.0,2.0,1.0,False,1155.26,0.727298562806182
59,0,32,149,1,0.0,0.0,0.0,0.0,0.0,5676.246428571429,0.0,0.0,0.0,0.0,0.0,449.7532142857143,2.0,85.44285714285715,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,5676.246428571429,5.202896215501569
61,0,14,159,1,0.0,0.0,0.0,0.0,0.0,232.8353571428572,0.0,0.0,0.0,0.0,0.0,0.0003571428571428,1.0,0.8928571428571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,232.8353571428572,0.000188679245283
62,1,51,113,1,0.0,0.0,0.0,0.0,0.0,317.9525,0.0,0.0,0.0,0.0,0.0,321.43321428571426,2.0,261.5,139.28571428571428,0.0,111.5,4.0,2.0,0.0,1.0,False,317.9525,1.2245074829931972
63,1,37,29,1,1.0,2.0,0.0,0.0,0.0,351.8014285714286,17220.452857142856,5616.197857142857,0.0,0.0,0.0,623.8671428571428,4.0,362.6092857142857,0.0,0.0,361.2878571428572,4.0,0.0,0.0,3.0,False,23188.45214285714,1.715762405879152
64,0,61,38,1,0.0,0.0,1.0,0.0,0.0,0.7596428571428572,0.0,0.0,0.0,0.0,0.0,1275.8267857142855,5.0,1449.484642857143,535.7142857142857,518.1278571428571,393.0353571428572,51.0,3.0,42.0,4.0,False,0.7596428571428572,0.8795865519825024
70,1,38,152,1,0.0,0.0,0.0,0.0,0.0,346.48535714285714,0.0,0.0,0.0,0.0,0.0,1785.7192857142857,3.0,1731.7975,632.1428571428571,130.44285714285715,937.6046428571428,19.0,4.0,3.0,10.0,False,346.48535714285714,1.030541240805279
74,1,63,20,1,1.0,0.0,0.0,1.0,0.0,736.7660714285714,0.0,0.0,0.0,18.76214285714286,0.0,833.285,8.0,708.3928571428571,214.28571428571428,0.0,492.6785714285714,7.0,3.0,0.0,2.0,False,755.5282142857143,1.1746453204450489
77,1,71,2,1,0.0,0.0,0.0,0.0,0.0,168.1757142857143,0.0,0.0,0.0,0.0,0.0,1752.8139285714285,2.0,1470.9864285714286,232.14285714285717,670.8960714285713,492.6428571428572,16.0,1.0,10.0,4.0,False,168.1757142857143,1.1907813105807945
84,1,66,235,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
89,0,40,118,1,1.0,2.0,0.0,0.0,0.0,137.70142857142858,893.1703571428571,1462.0660714285714,0.0,0.0,0.0,1979.1557142857143,6.0,2601.4375,857.1428571428571,82.43107142857143,715.4350000000001,24.0,8.0,2.0,13.0,False,2492.937857142857,0.7605007667948661
