Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,TransactionsCred,VolumeDeb,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Dormant,Total_ActBal,Credit_Debit_Ratio
1,0,51,7,1,0.0,0.0,1.0,0.0,0.0,1333.8028571428572,0.0,0.0,0.0,0.0,0.0,1678.946428571429,25.0,1891.3532142857143,250.0,283.0892857142857,247.6071428571429,50.0,3.0,12.0,9.0,False,1333.8028571428572,0.8872267692398863
2,1,43,152,1,1.0,0.0,0.0,0.0,0.0,110.76857142857143,13326.190357142856,0.0,0.0,0.0,0.0,708.1296428571429,4.0,386.4428571428571,307.1428571428572,38.40714285714286,35.714285714285715,6.0,2.0,2.0,1.0,False,13436.958928571428,1.827700859112865
6,0,24,19,1,0.0,0.0,0.0,0.0,1.0,4.297142857142857,0.0,0.0,0.0,0.0,1982.0710714285717,501.13142857142856,3.0,436.2857142857143,357.1428571428572,0.0,0.0,8.0,1.0,0.0,0.0,False,1986.3682142857144,1.1460045736687356
8,0,64,30,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.0569999999989,0.0,0.0,649.1992857142858,25.0,654.8242857142858,253.57142857142856,6.982142857142857,0.0,42.0,10.0,1.0,0.0,False,199.0569999999989,0.989898208797217
13,0,66,132,1,1.0,0.0,0.0,0.0,1.0,353.83964285714285,5.8325000000000005,0.0,0.0,0.0,2198.3581785714277,1201.107142857143,6.0,1232.7964285714286,339.2857142857143,173.43214285714288,312.5357142857143,41.0,6.0,17.0,10.0,False,2558.03032142857,0.9735051221114852
14,0,38,95,1,1.0,2.0,0.0,1.0,1.0,23.34464285714285,403.65928571428566,10443.760928571424,0.0,53.13214285714286,2198.3581785714277,4358.740714285715,13.0,2385.786785714285,625.0,399.49392857142857,383.5357142857143,46.0,5.0,25.0,10.0,False,13122.255178571422,1.8261960977722145
15,1,26,174,1,0.0,0.0,0.0,0.0,0.0,1.5453571428571429,0.0,0.0,0.0,0.0,0.0,47.4375,2.0,20.803571428571427,0.0,17.410714285714285,0.0,2.0,0.0,1.0,0.0,False,1.5453571428571429,2.175675675675676
17,0,64,150,1,0.0,0.0,0.0,0.0,0.0,338.77642857142854,0.0,0.0,0.0,0.0,0.0,1309.474642857143,4.0,5000.515357142857,803.5714285714286,168.92607142857145,2160.4502857142847,33.0,5.0,7.0,20.0,False,338.77642857142854,0.2618155797496516
20,1,27,181,1,1.0,0.0,0.0,0.0,0.0,2194.472142857143,18302.0625,0.0,0.0,0.0,0.0,452.6175,4.0,221.42857142857144,107.14285714285714,10.714285714285714,103.57142857142856,7.0,3.0,1.0,3.0,False,20496.534642857143,2.034889210019268
21,0,24,60,1,1.0,0.0,0.0,0.0,0.0,434.7425,20632.692642857142,0.0,0.0,0.0,0.0,409.8507142857143,3.0,505.6535714285714,178.57142857142858,259.18928571428575,64.28571428571429,22.0,4.0,14.0,3.0,False,21067.435142857143,0.80893679112947
22,1,54,0,1,0.0,0.0,0.0,0.0,0.0,2492.1467857142857,0.0,0.0,0.0,0.0,0.0,2423.411071428571,7.0,3587.0782142857142,857.1428571428571,466.84,1273.107142857143,29.0,4.0,12.0,9.0,False,2492.1467857142857,0.67540642279756
23,1,4,160,1,2.0,4.0,1.0,0.0,0.0,22.967142857142857,20632.692642857142,868.7035714285714,199.0569999999989,0.0,0.0,559.1042857142858,4.0,945.715,107.14285714285714,529.3792857142857,309.1928571428571,33.0,1.0,26.0,6.0,False,21723.42035714285,0.5905729662192801
26,0,27,24,1,0.0,1.0,1.0,0.0,0.0,1868.2342857142853,0.0,10443.760928571424,0.0,0.0,0.0,480.7871428571429,3.0,476.7142857142857,457.1428571428572,0.0,16.178571428571427,7.0,4.0,0.0,2.0,False,12311.99521428571,1.0064324162679426
27,1,62,181,1,0.0,0.0,1.0,0.0,0.0,1649.98,0.0,0.0,0.0,0.0,0.0,5960.831928571426,4.0,425.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,1649.98,13.992563212608982
29,0,60,150,1,0.0,0.0,1.0,0.0,0.0,373.3542857142857,0.0,0.0,0.0,0.0,0.0,199.4935714285714,5.0,385.2435714285714,92.85714285714286,0.0,89.28571428571429,8.0,1.0,0.0,1.0,False,373.3542857142857,0.516496807159065
31,0,59,97,1,0.0,0.0,0.0,1.0,1.0,2336.8507142857143,0.0,0.0,0.0,213.57989285714265,679.5007142857143,1224.8635714285715,6.0,2816.695714285714,57.142857142857146,670.8960714285713,843.8278571428572,46.0,1.0,22.0,13.0,False,3229.931321428571,0.434703990646866
33,1,71,150,1,0.0,0.0,0.0,0.0,0.0,10632.118249999996,0.0,0.0,0.0,0.0,0.0,730.5721428571429,5.0,635.842857142857,139.28571428571428,56.73571428571428,436.4285714285714,13.0,2.0,4.0,6.0,False,10632.118249999996,1.1471780434733847
