,Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
0,1,F,51,7,1,,,1.0,,,1333.8028571428572,,,0.0,,,1678.9464285714287,1318.6982142857144,25.0,23.0,1891.3532142857143,1335.6196428571427,250.0,283.0892857142857,247.60714285714286,50.0,30.0,3.0,12.0,9.0,1.0,0.0,0.0,26.97267857142857,0.0,0.0
1,2,M,43,152,1,1.0,,,,,110.76857142857143,13326.190357142857,,,,,708.1296428571429,704.9357142857143,4.0,3.0,386.4428571428571,386.4428571428571,307.14285714285717,38.40714285714286,35.714285714285715,6.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,M,17,140,1,,1.0,,,,482.65464285714285,,107.25178571428572,,,,1607.149642857143,1607.149642857143,4.0,4.0,123.75,123.75,0.0,112.85714285714286,10.678571428571429,3.0,3.0,0.0,1.0,1.0,,,,,,
3,4,M,24,153,1,1.0,,,1.0,,1599.8407142857143,76.43714285714285,,,1110.3817857142856,,1872.4835714285714,1822.589642857143,9.0,4.0,3614.7475,3598.9503571428572,714.2857142857143,526.0375,1963.1653571428571,41.0,36.0,6.0,12.0,13.0,,,,,,
4,5,F,58,200,1,1.0,,,,,5353.483928571428,8079.715714285715,,,,,4372.773928571429,2964.2903571428574,23.0,14.0,5868.460714285714,4031.9249999999997,157.14285714285714,832.1750000000001,1779.5714285714287,44.0,41.0,4.0,17.0,13.0,,,,,,
5,6,F,24,19,1,,,,,1.0,4.297142857142857,,,,,1982.0710714285713,501.13142857142856,448.42928571428575,3.0,2.0,436.2857142857143,429.67857142857144,357.14285714285717,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,F,55,227,1,,,,,,879.6850000000001,,,,,,387.5046428571428,387.5046428571428,2.0,2.0,99.04392857142857,99.04392857142857,17.857142857142858,69.15107142857143,10.714285714285714,10.0,10.0,1.0,6.0,1.0,,,,,,
7,8,F,64,30,1,,,1.0,,,0.0,,,326.9692857142857,,,649.1992857142858,458.60857142857145,25.0,21.0,654.8242857142858,455.0371428571429,253.57142857142858,6.982142857142857,0.0,42.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,F,33,182,1,,,1.0,,,510.1664285714286,,,0.0,,,527.175,379.7910714285714,6.0,4.0,415.4607142857143,375.70535714285717,53.57142857142857,0.0,170.71428571428572,10.0,7.0,1.0,0.0,3.0,,,,,,
9,10,F,29,48,1,1.0,,,,,253.45892857142857,116.70928571428571,,,,,0.02464285714285714,0.0,1.0,0.0,0.8928571428571429,0.8928571428571429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,
10,11,M,30,40,1,1.0,,,,,709.9025,5.590357142857143,,,,,451.84785714285715,449.3960714285714,3.0,2.0,412.89285714285717,412.89285714285717,410.7142857142857,0.0,0.0,5.0,5.0,3.0,0.0,0.0,,,,,,
11,12,M,45,155,1,,,,,,1075.475,,,,,,466.80035714285714,466.80035714285714,3.0,3.0,770.2510714285714,770.2510714285714,285.7142857142857,393.6082142857143,87.53571428571429,19.0,19.0,1.0,13.0,4.0,,,,,,
12,13,F,66,132,1,1.0,,,,1.0,353.83964285714285,5.8325000000000005,,,,3458.2957142857144,1201.107142857143,1095.6446428571428,6.0,3.0,1232.7964285714286,1158.367857142857,339.2857142857143,173.43214285714288,312.5357142857143,41.0,39.0,6.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,F,38,95,1,1.0,2.0,,1.0,1.0,23.344642857142855,403.65928571428566,13184.9225,,53.13214285714286,17062.324285714287,4358.740714285715,3567.309285714286,13.0,7.0,2385.7867857142855,1986.292857142857,625.0,399.49392857142857,383.5357142857143,46.0,21.0,5.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,M,26,174,1,,,,,,1.5453571428571429,,,,,,47.4375,47.4375,2.0,2.0,20.803571428571427,20.803571428571427,0.0,17.410714285714285,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,M,46,149,1,1.0,2.0,,,,10015.924642857144,31.65857142857143,68246.33499999999,,,,394.71250000000003,385.755,3.0,2.0,538.8714285714285,538.8714285714285,0.0,59.26428571428572,479.60714285714283,11.0,11.0,0.0,1.0,10.0,,,,,,
16,17,F,64,150,1,,,,,,338.77642857142854,,,,,,1309.474642857143,1309.474642857143,4.0,4.0,5000.515357142857,5000.515357142857,803.5714285714286,168.92607142857145,4023.7678571428573,33.0,33.0,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,M,25,41,1,,,,1.0,,935.9632142857143,,,,1016.2924999999999,,2585.3571428571427,2390.907142857143,8.0,2.0,1869.4778571428571,1274.149642857143,703.5714285714286,712.6075,266.42857142857144,44.0,24.0,6.0,22.0,7.0,,,,,,
18,19,F,46,94,1,1.0,,,,,26118.09857142857,71661.59285714287,,,,,812.49,812.4714285714286,3.0,2.0,148.4467857142857,148.4467857142857,0.0,0.0,144.12535714285715,5.0,5.0,0.0,0.0,4.0,,,,,,
19,20,M,27,181,1,1.0,,,,,2194.472142857143,18302.0625,,,,,452.6175,451.55,4.0,3.0,221.42857142857142,221.42857142857142,107.14285714285714,10.714285714285714,103.57142857142857,7.0,7.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3.8225000000000002,0.0
