Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
50,F,33,109,1,,,,,,169.5635714285714,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
58,F,45,49,1,,6.0,,,,1263.0528571428572,,1793.8999999999999,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
84,M,66,235,2,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
305,M,37,140,1,,,,,,234.46464285714288,,,,,,,,,,,,,,,,,,,,,,,,,
315,M,24,93,1,,,,,,120.73714285714286,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
334,F,49,163,1,,,,,,23516.17142857143,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.7867857142857144,0.0
355,M,43,36,1,,,,,,174.48499999999999,,,,,,,,,,,,,,,,,,,,,,,,,
377,M,38,167,1,,,,,,611.6046428571428,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
514,M,77,129,1,,,,,,27.09035714285714,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
522,F,47,129,3,,,,,,1.2807142857142857,,,,,,,,,,,,,,,,,,,,,,,,,
663,M,42,106,1,,,,,,9.275,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
723,M,59,0,1,,,,,,444.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
741,M,67,77,1,,,,,,58.583928571428565,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,8.934285714285714,0.0
799,M,73,149,1,,,,,,882.1239285714286,,,,,,,,,,,,,,,,,,,,,,,,,
833,M,36,150,1,,,,,,3017.6414285714286,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,4.999285714285714,0.0
941,M,27,97,1,,,,,,4466.422142857143,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,19.75
962,F,56,151,1,,,,,,1783.9614285714285,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1026,M,70,69,1,,,,,,389.0253571428571,,,,,,,,,,,,,,,,,,,,,,,,,
1032,M,47,72,1,,,,,,1114.8675,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1139,M,52,71,1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1141,F,48,37,1,,,,,,2262.1789285714285,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,4.035714285714286,0.0
1199,F,73,178,1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,5.892857142857143,0.0
1203,F,45,174,1,,,,,,35.145357142857144,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1244,F,34,152,1,,,,,,2392.7146428571427,,,,,,,,,,,,,,,,,,,,,,,,,
1269,F,37,43,1,,,,,,514.0550000000001,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1446,F,46,106,1,,,,,,323.6457142857143,,,,,,,,,,,,,,,,,,,,,,,,,
1528,F,23,110,1,,,,,,1032.9950000000001,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1544,F,30,0,1,,,,,,424.2896428571429,,,,,,,,,,,,,,,,,,,,,,,,,
